Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote
ETH,USD,Chainlink,Chainlink_ETH/USD,0x10674C8C1aE2072d4a75FE83f1E159425fd84E1D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348
USDC,USD,Chainlink,Chainlink_USDC/USD,0x6213f24332D35519039f2afa7e3BffE105a37d3F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x0000000000000000000000000000000000000348
USDT,USD,Chainlink,Chainlink_USDT/USD,0x587CABe0521f5065b561A6e68c25f338eD037FF9,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0000000000000000000000000000000000000348
STETH,USD,Chainlink,Chainlink_STETH/USD,0x1B965dB157027423b493328CbddeF2335063897b,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x0000000000000000000000000000000000000348
wstETH,stETH,Lido,Lido_wstETH/stETH,0xd1DD0C964B0d137498C630B8b7fEd1F88631FFF3,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0
wstETH,USD,Cross,Cross_wstETH/USD,0x02dd5B7ab536629d2235276aBCDf8eb3Af9528D7,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000348
ETH,USD,Chronicle,Chronicle_ETH/USD,0x956C9b887cB8779140EED942fa91f51B13Bd1b86,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348
MKR,USD,Chronicle,Chronicle_MKR/USD,0x5c5B67D71559744d5d1DbB2c9C282761919A25Cf,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0x0000000000000000000000000000000000000348
WSTETH,USD,Chronicle,Chronicle_WSTETH/USD,0x9Ee335e15692317A4fAdb221feA0AFfe48953130,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000348
1INCH,ETH,Chainlink,Chainlink_1INCH/ETH,0x0409951BaF30bfAd7EC3c2584CBCB120f816b31B,0x111111111117dc0aa78b770fa6a738034120c302,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
1INCH,USD,Chainlink,Chainlink_1INCH/USD,0x8F63048De9e67B90F43D6879168f49527b795d54,0x111111111117dc0aa78b770fa6a738034120c302,0x0000000000000000000000000000000000000348
AAVE,ETH,Chainlink,Chainlink_AAVE/ETH,0x175eCF37C049c089e44A6C195519f0Ed4368A370,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
AAVE,USD,Chainlink,Chainlink_AAVE/USD,0x86141c87044EBCAf02957a61DEc696722A420119,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x0000000000000000000000000000000000000348
EURA,EUR,Chainlink,Chainlink_EURA/EUR,0x4d0d1B45834e8185e7ddB4aD8Fc64884fa8e6D5D,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x00000000000000000000000000000000000003d2
BAL,ETH,Chainlink,Chainlink_BAL/ETH,0xD671f3e5597a1396Dc427FBbD6B3e3f6C6FD5363,0xba100000625a3754423978a60c9317c58a424e3D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
BAL,USD,Chainlink,Chainlink_BAL/USD,0x404F45046a22b3A4A97F73bAe28231648FDFf11e,0xba100000625a3754423978a60c9317c58a424e3D,0x0000000000000000000000000000000000000348
BTC,USD,Chainlink,Chainlink_BTC/USD,0x0484Df76f561443d93548D86740b5C4A826e5A33,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348
CBETH,ETH,Chainlink,Chainlink_CBETH/ETH,0xD41641d2D8b3B0DCaEdFab917AA4c140C4dBAb77,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
CRV,ETH,Chainlink,Chainlink_CRV/ETH,0xe7884FEe13B1FB49d5598e68D7B4476D0555f81a,0xD533a949740bb3306d119CC777fa900bA034cd52,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
CRV,USD,Chainlink,Chainlink_CRV/USD,0x9bf043B79b9BEFAF3b9839fFC51dF0c008BEFf9C,0xD533a949740bb3306d119CC777fa900bA034cd52,0x0000000000000000000000000000000000000348
CRVUSD,USD,Chainlink,Chainlink_CRVUSD/USD,0x24eFfF312944A66eE45058550fEBDcc65C9f099e,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,0x0000000000000000000000000000000000000348
CVX,ETH,Chainlink,Chainlink_CVX/ETH,0xBE42faeA74e76CEb62DEfa279bAba3eCfb63B283,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
CVX,USD,Chainlink,Chainlink_CVX/USD,0xF48a85f4bC46b0133C9F733a9B8a1a3C37b5cbEb,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0x0000000000000000000000000000000000000348
DAI,ETH,Chainlink,Chainlink_DAI/ETH,0xBc312189BA9a87093321609af6de6C5A34d51733,0x6b175474e89094c44da98b954eedeac495271d0f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
DAI,USD,Chainlink,Chainlink_DAI/USD,0xBb918933b510CDF9008E0f1B6AFE50A587CD9224,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000000000000000000000348
ENS,USD,Chainlink,Chainlink_ENS/USD,0xE280D813190c57EaF64a71Ab4DAbc802411C1030,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,0x0000000000000000000000000000000000000348
ETH,BTC,Chainlink,Chainlink_ETH/BTC,0xccE9D62e73d97CEF4F09c73f6924234B435Ee704,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB
ETHx,ETH,Chainlink,Chainlink_ETHx/ETH,0x0fe1A11CC41459A60471BEF0177C08C4f09f94d9,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
EUR,USD,Chainlink,Chainlink_EUR/USD,0x8453AEEd36efF2c88f237c78ce3e643d04a7AFaC,0x00000000000000000000000000000000000003d2,0x0000000000000000000000000000000000000348
ezETH,ETH,Chainlink,Chainlink_ezETH/ETH,0x0F239a09D9B4f048d2EfE36a4204692F8DF5B564,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
FRAX,ETH,Chainlink,Chainlink_FRAX/ETH,0x81D21c8f60dfD0f0c91013DCEa964E731f78665e,0x853d955aCEf822Db058eb8505911ED77F175b99e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
FRAX,USD,Chainlink,Chainlink_FRAX/USD,0xE93999C098EC339E1CbcEB5bB0C1Fd37a867921c,0x853d955aCEf822Db058eb8505911ED77F175b99e,0x0000000000000000000000000000000000000348
FXS,USD,Chainlink,Chainlink_FXS/USD,0x473D85A00c3eC2393376CDDa6df3d9F978125B43,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0x0000000000000000000000000000000000000348
GHO,USD,Chainlink,Chainlink_GHO/USD,0x5291579cA14767A54E00fEd2872D609E7850dF75,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x0000000000000000000000000000000000000348
GRT,ETH,Chainlink,Chainlink_GRT/ETH,0xe322866b7290181Da7A1B9ad37f308519841Cb32,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
GRT,USD,Chainlink,Chainlink_GRT/USD,0xFe9fda2fa2266023D07f2DE975D1D2e890146c2d,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,0x0000000000000000000000000000000000000348
LDO,ETH,Chainlink,Chainlink_LDO/ETH,0x3792AE101b15Eef45bF713b562383e0399659D64,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
LINK,ETH,Chainlink,Chainlink_LINK/ETH,0xb1428B0229F951d6d7d2B8921D6E72B895cC4CDE,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
LINK,USD,Chainlink,Chainlink_LINK/USD,0x3A73697B07C273A04183765561d6f68a9D327DE7,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x0000000000000000000000000000000000000348
LUSD,USD,Chainlink,Chainlink_LUSD/USD,0x470a05A180dF40D3706032325Ea750eB6Af1A092,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0x0000000000000000000000000000000000000348
mETH,ETH,Chainlink,Chainlink_mETH/ETH,0x6bF6cc2d082273eF4f373Cb180e05d7D380ecaf6,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
MKR,ETH,Chainlink,Chainlink_MKR/ETH,0x6248E929E0AC57DD7812FFB33B4a30E85a0f99db,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
MKR,USD,Chainlink,Chainlink_MKR/USD,0x3071EeBBAF219Ab3764cD076915ad55393704616,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0x0000000000000000000000000000000000000348
PYUSD,USD,Chainlink,Chainlink_PYUSD/USD,0x27895A6295a5117CB989d610DF1Df39DC2CDBf8F,0x6c3ea9036406852006290770bedfcaba0e23a0e8,0x0000000000000000000000000000000000000348
RDNT,USD,Chainlink,Chainlink_RDNT/USD,0xe0DBFd7c7E54006cDa3202f3D25006a8E7EED566,0x137dDB47Ee24EaA998a535Ab00378d6BFa84F893,0x0000000000000000000000000000000000000348
RETH,ETH,Chainlink,Chainlink_RETH/ETH,0xE39Da17508ec3fE7806a58b0aBe15A2df742cBfE,0xae78736Cd615f374D3085123A210448E74Fc6393,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
RPL,USD,Chainlink,Chainlink_RPL/USD,0x77a5D2828A797E76c175435DAfEa5A22fEd573e3,0xB4EFd85c19999D84251304bDA99E90B92300Bd93,0x0000000000000000000000000000000000000348
RSETH,ETH,Chainlink,Chainlink_RSETH/ETH,0x375b0dcFE72efBc03937A3FfFc1de13d97D6F4B1,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
RSR,USD,Chainlink,Chainlink_RSR/USD,0xE4603a2a5b690d09309aCAa12c4Fd1BBF661edF3,0x8762db106B2c2A0bccB3A80d1Ed41273552616E8,0x0000000000000000000000000000000000000348
rswETH,ETH,Chainlink,Chainlink_rswETH/ETH,0xcEa9Db0E0602879DCcB2DC2D1Bb343B7f9143073,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
SNX,ETH,Chainlink,Chainlink_SNX/ETH,0x40D2162b799Ee21bF6E63e4ab81A40bf3048C618,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
SNX,USD,Chainlink,Chainlink_SNX/USD,0xf1D4711E64c0305DF167784541A7D2647d72984a,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x0000000000000000000000000000000000000348
STETH,ETH,Chainlink,Chainlink_STETH/ETH,0x62B87e645D754F350DE58fd057889Fc2d6748b4f,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
STG,USD,Chainlink,Chainlink_STG/USD,0x424775a622eE9156DeED13B627B9Abe08B5BFa57,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6,0x0000000000000000000000000000000000000348
SUSD,ETH,Chainlink,Chainlink_SUSD/ETH,0x0f316b9f0bf1FFBADFa131E7d605265Da3587f05,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
sUSDe,USD,Chainlink,Chainlink_sUSDe/USD,0xD4fF9D4e0A3E5995A0E040632F34271b2e9c8a42,0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x0000000000000000000000000000000000000348
SUSHI,ETH,Chainlink,Chainlink_SUSHI/ETH,0xE8391F3556F19dd5e843361e8CACB073B401ae81,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
SUSHI,USD,Chainlink,Chainlink_SUSHI/USD,0xA4d8c46DA4b7a73Faa058b36EfA305077569bF23,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0x0000000000000000000000000000000000000348
SWETH,ETH,Chainlink,Chainlink_SWETH/ETH,0x5b3A993Bc8E33b2e2037f1BB70E3e771EcdC8ddf,0xf951E335afb289353dc249e82926178EaC7DEd78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
TBTC,USD,Chainlink,Chainlink_TBTC/USD,0x12Dd0ceea79F97250bba5816eE44DfCBC3A9d9E2,0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa,0x0000000000000000000000000000000000000348
TUSD,ETH,Chainlink,Chainlink_TUSD/ETH,0x77D22F93EFd26417B5CD6D5586A6728FFd4e74c3,0x0000000000085d4780B73119b644AE5ecd22b376,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
UNI,ETH,Chainlink,Chainlink_UNI/ETH,0xA74e9a856DD1bA260169BD577C9235Fb6e9391fE,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
UNI,USD,Chainlink,Chainlink_UNI/USD,0x58010Bc0CD6101c94EdcB1173B27745Bd8Fa46D7,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x0000000000000000000000000000000000000348
USDC,ETH,Chainlink,Chainlink_USDC/ETH,0x2eA2b307cD934a6e705eAcFCb6B806d018Cd62CF,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
USDe,USD,Chainlink,Chainlink_USDe/USD,0x8211B9ae40b06d3Db0215E520F232184Af355378,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,0x0000000000000000000000000000000000000348
USDP,USD,Chainlink,Chainlink_USDP/USD,0x8dAf2C71fCa7C9BfE07C3a269c04b9d5e7AB043E,0x8E870D67F660D95d5be530380D0eC0bd388289E1,0x0000000000000000000000000000000000000348
USDT,ETH,Chainlink,Chainlink_USDT/ETH,0xc3928c5AcE4c047053eBCf547F9d513261e87a78,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
WBTC,BTC,Chainlink,Chainlink_WBTC/BTC,0xc38B1ae5f9bDd68D44b354fD06b16488Be4Bc0d4,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB
weETH,ETH,Chainlink,Chainlink_weETH/ETH,0x8116Ff3BCF7460FEF6B1b258dd7959Ea3DfDF778,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
YFI,ETH,Chainlink,Chainlink_YFI/ETH,0x43EA4d02fE0a87D9e7E8069e7b2fA017207a9d25,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
YFI,USD,Chainlink,Chainlink_YFI/USD,0x5ADf279fb4C4dEb1781e84A06FE2ff7219287405,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x0000000000000000000000000000000000000348
1INCH,USD,Pyth,Pyth_1INCH/USD,0x6F79C23D482EA6d2B075092289aefB86E761EE9D,0x111111111117dc0aa78b770fa6a738034120c302,0x0000000000000000000000000000000000000348
AAVE,USD,Pyth,Pyth_AAVE/USD,0xFa908c9B6F91523D563Ca8660F50c49b9571873E,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x0000000000000000000000000000000000000348
EURA,USD,Pyth,Pyth_EURA/USD,0x36e2FA4A545bfda4c5cDaF1d28dc3C138bB77aA9,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x0000000000000000000000000000000000000348
BAL,USD,Pyth,Pyth_BAL/USD,0xa1e0C3690e145634c41B6D8A228E6E25EA950B25,0xba100000625a3754423978a60c9317c58a424e3d,0x0000000000000000000000000000000000000348
CBETH,USD,Pyth,Pyth_CBETH/USD,0x218f2C85a53B7a3051561F8Bf2475D40eFd3ADA1,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x0000000000000000000000000000000000000348
CRV,USD,Pyth,Pyth_CRV/USD,0x26283C9B18FAb5BF46b85b4bF46FbC56f92BeA8c,0xD533a949740bb3306d119CC777fa900bA034cd52,0x0000000000000000000000000000000000000348
CVX,USD,Pyth,Pyth_CVX/USD,0xa03A5af033c80e4A168c679bb5780387c5A91455,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0x0000000000000000000000000000000000000348
DAI,USD,Pyth,Pyth_DAI/USD,0x4E33D9874EbB7847C9C11E47aEEa8D3F215bF676,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000000000000000000000348
ENA,USD,Pyth,Pyth_ENA/USD,0x33243BfB60C05d9F20A0064365DC10F5Ee599956,0x57e114B691Db790C35207b2e685D4A43181e6061,0x0000000000000000000000000000000000000348
ENS,USD,Pyth,Pyth_ENS/USD,0xd1f0AF153fCd8822459Bcfee0705DA8D86b5B92a,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,0x0000000000000000000000000000000000000348
ETH,USD,Pyth,Pyth_ETH/USD,0x680922A0BEB9701A92B97C4e5B6e7f1A4a3AdF8A,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000348
ETHFI,USD,Pyth,Pyth_ETHFI/USD,0x5Cc2e68540aF49cC1537C27A5aFa33B89AF06a94,0xFe0c30065B384F05761f15d0CC899D4F9F9Cc0eB,0x0000000000000000000000000000000000000348
EURC,USD,Pyth,Pyth_EURC/USD,0x350Db14882475dA44CabDd621448C4Fab0fa8CE6,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,0x0000000000000000000000000000000000000348
EZETH,USD,Pyth,Pyth_EZETH/USD,0x5E9381A17d413e8aBA4AcF33786BdB20Ae97Bd34,0xbf5495efe5db9ce00f80364c8b423567e58d2110,0x0000000000000000000000000000000000000348
